age,workclass,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,education_id,marital_status_id,occupation_id
39, State-gov, Not-in-family, White, Male,2174,0,40, United-States, <=50K,1,1,1
50, Self-emp-not-inc, Husband, White, Male,0,0,13, United-States, <=50K,1,2,2
38, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,2,3,3
53, Private, Husband, Black, Male,0,0,40, United-States, <=50K,3,2,3
28, Private, Wife, Black, Female,0,0,40, Cuba, <=50K,1,2,4
37, Private, Wife, White, Female,0,0,40, United-States, <=50K,4,2,2
49, Private, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K,5,4,5
52, Self-emp-not-inc, Husband, White, Male,0,0,45, United-States, >50K,2,2,2
31, Private, Not-in-family, White, Female,14084,0,50, United-States, >50K,4,1,4
42, Private, Husband, White, Male,5178,0,40, United-States, >50K,1,2,2
37, Private, Husband, Black, Male,0,0,80, United-States, >50K,6,2,2
30, State-gov, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K,1,2,4
23, Private, Own-child, White, Female,0,0,30, United-States, <=50K,1,1,1
32, Private, Not-in-family, Black, Male,0,0,50, United-States, <=50K,7,1,6
40, Private, Husband, Asian-Pac-Islander, Male,0,0,40,nan, >50K,8,2,7
34, Private, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K,9,2,8
25, Self-emp-not-inc, Own-child, White, Male,0,0,35, United-States, <=50K,2,1,9
32, Private, Unmarried, White, Male,0,0,40, United-States, <=50K,2,1,10
38, Private, Husband, White, Male,0,0,50, United-States, <=50K,3,2,6
43, Self-emp-not-inc, Unmarried, White, Female,0,0,45, United-States, >50K,4,3,2
40, Private, Husband, White, Male,0,0,60, United-States, >50K,10,2,4
54, Private, Unmarried, Black, Female,0,0,20, United-States, <=50K,2,5,5
35, Federal-gov, Husband, Black, Male,0,0,40, United-States, <=50K,5,2,9
43, Private, Husband, White, Male,0,2042,40, United-States, <=50K,3,2,8
59, Private, Unmarried, White, Female,0,0,40, United-States, <=50K,2,3,11
56, Local-gov, Husband, White, Male,0,0,40, United-States, >50K,1,2,11
19, Private, Own-child, White, Male,0,0,40, United-States, <=50K,2,1,7
54,nan, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K,6,2,12
39, Private, Not-in-family, White, Male,0,0,80, United-States, <=50K,2,3,2
49, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,7
23, Local-gov, Not-in-family, White, Male,0,0,52, United-States, <=50K,7,1,13
20, Private, Own-child, Black, Male,0,0,44, United-States, <=50K,6,1,6
45, Private, Own-child, White, Male,0,1408,40, United-States, <=50K,1,3,2
30, Federal-gov, Own-child, White, Male,0,0,40, United-States, <=50K,6,2,1
22, State-gov, Husband, Black, Male,0,0,15, United-States, <=50K,6,2,5
48, Private, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K,3,1,10
21, Private, Own-child, White, Male,0,0,40, United-States, <=50K,6,1,10
19, Private, Wife, White, Female,0,0,25, United-States, <=50K,2,6,1
31, Private, Husband, White, Male,0,0,38,nan, >50K,6,2,6
48, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, <=50K,7,2,4
31, Private, Husband, White, Male,0,0,43, United-States, <=50K,5,2,10
53, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, <=50K,1,2,4
24, Private, Husband, White, Male,0,0,50, United-States, <=50K,1,2,11
49, Private, Unmarried, White, Female,0,0,40, United-States, <=50K,2,5,1
25, Private, Not-in-family, White, Male,0,0,35, United-States, <=50K,2,1,3
57, Federal-gov, Husband, Black, Male,0,0,40, United-States, >50K,1,2,4
53, Private, Husband, White, Male,0,0,38, United-States, <=50K,2,2,10
44, Private, Unmarried, White, Female,0,0,40, United-States, <=50K,4,3,2
41, State-gov, Husband, White, Male,0,0,40, United-States, <=50K,8,2,7
29, Private, Not-in-family, White, Male,0,0,43, United-States, <=50K,8,1,4
25, Private, Wife, Other, Female,0,0,40, United-States, <=50K,6,2,2
18, Private, Own-child, White, Female,0,0,30,nan, <=50K,2,1,5
47, Private, Wife, White, Female,0,1902,60, Honduras, >50K,11,2,4
50, Federal-gov, Not-in-family, White, Male,0,0,55, United-States, >50K,1,3,2
47, Self-emp-inc, Not-in-family, White, Male,0,0,60, United-States, <=50K,2,3,2
43, Private, Husband, White, Male,0,0,40, United-States, >50K,6,2,11
46, Private, Husband, White, Male,0,0,40, Mexico, <=50K,12,2,10
35, Private, Husband, White, Male,0,0,40, Puerto-Rico, <=50K,8,2,5
41, Private, Husband, White, Male,0,0,48, United-States, <=50K,2,2,1
30, Private, Husband, White, Male,5013,0,40, United-States, <=50K,2,2,10
30, Private, Husband, White, Male,2407,0,40, United-States, <=50K,1,2,6
32,nan, Not-in-family, White, Male,0,0,40,nan, <=50K,9,4,12
48, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,8
42, Private, Husband, White, Male,0,0,45, United-States, >50K,10,2,4
29, Private, Not-in-family, White, Male,0,0,58, United-States, <=50K,6,3,11
36, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,7
28, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,6,3,1
53, Private, Wife, White, Female,0,0,40, United-States, >50K,2,2,1
49, Self-emp-inc, Husband, White, Male,0,0,50, United-States, >50K,6,2,2
25,nan, Own-child, White, Male,0,0,40, United-States, <=50K,6,1,12
19, Private, Own-child, White, Male,0,0,32, United-States, <=50K,6,1,4
31, Private, Own-child, Black, Female,0,0,40, United-States, <=50K,1,5,6
29, Self-emp-not-inc, Husband, White, Male,0,0,70, United-States, >50K,1,2,6
23, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,6,1,10
79, Private, Other-relative, White, Male,0,0,20, United-States, <=50K,6,2,4
27, Private, Own-child, White, Male,0,0,40, Mexico, <=50K,2,1,5
40, Private, Husband, White, Male,0,0,40, United-States, <=50K,7,2,1
67,nan, Husband, White, Male,0,0,2, United-States, <=50K,13,2,12
18, Private, Own-child, White, Female,0,0,22, United-States, <=50K,3,1,5
31, Local-gov, Husband, White, Male,0,0,40, United-States, <=50K,9,2,9
18, Private, Not-in-family, White, Male,0,0,30, United-States, <=50K,2,1,6
52, Private, Husband, White, Male,0,0,40, Cuba, <=50K,1,2,5
46, Private, Wife, White, Female,0,0,40, United-States, <=50K,2,2,5
59, Private, Husband, White, Male,0,0,48, United-States, <=50K,2,2,6
44, Private, Not-in-family, White, Female,14344,0,40, United-States, >50K,2,3,7
53, Private, Own-child, White, Female,0,0,35, United-States, <=50K,2,3,6
49, Local-gov, Husband, White, Male,0,0,40, United-States, >50K,2,2,13
33, Private, Husband, White, Male,0,0,50, United-States, <=50K,4,2,4
30, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,5,1,6
43, Federal-gov, Not-in-family, White, Female,0,0,50, United-States, >50K,10,1,4
57, Private, Husband, White, Male,0,0,40, United-States, <=50K,8,2,4
37, Private, Unmarried, White, Female,0,0,40, United-States, <=50K,6,3,7
28, Private, Unmarried, Black, Female,0,0,25, United-States, <=50K,6,3,10
30, Private, Wife, Asian-Pac-Islander, Female,0,1573,35,nan, <=50K,2,2,6
34, Local-gov, Husband, White, Male,0,0,40, United-States, >50K,1,2,13
29, Local-gov, Not-in-family, White, Male,0,0,50, United-States, <=50K,6,1,3
48, Self-emp-not-inc, Husband, White, Male,0,1902,60, United-States, >50K,10,2,4
37, Private, Husband, White, Male,0,0,48, United-States, >50K,6,2,6
48, Private, Unmarried, White, Female,0,0,40, England, <=50K,7,3,2
32, Federal-gov, Own-child, Black, Male,0,0,40, United-States, <=50K,2,1,5
76, Private, Husband, White, Male,0,0,40, United-States, >50K,4,2,2
44, Private, Husband, White, Male,15024,0,60, United-States, >50K,1,2,2
47, Self-emp-not-inc, Not-in-family, White, Female,0,0,50, United-States, <=50K,4,1,4
20, Private, Own-child, White, Female,0,0,40, United-States, <=50K,6,1,11
29, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,2,1,7
32, Self-emp-inc, Husband, White, Male,7688,0,40, United-States, >50K,2,2,7
17,nan, Own-child, White, Female,34095,0,32, United-States, <=50K,13,1,12
30, Private, Own-child, White, Male,0,0,40, United-States, <=50K,3,1,3
31, Local-gov, Not-in-family, White, Female,0,0,40, United-States, <=50K,2,1,1
42, Private, Husband, White, Male,0,0,40, United-States, <=50K,2,2,3
24, Private, Other-relative, White, Male,0,0,40, United-States, <=50K,1,1,6
38, Private, Husband, White, Male,0,0,40, United-States, >50K,11,2,4
56, Self-emp-not-inc, Husband, White, Male,0,1887,50, Canada, >50K,2,2,5
28, Private, Wife, White, Female,4064,0,25, United-States, <=50K,6,2,6
36, Private, Own-child, White, Female,0,0,40, United-States, <=50K,2,1,10
53, Private, Husband, White, Male,0,0,50, United-States, <=50K,5,2,3
56, Self-emp-inc, Husband, White, Male,0,0,50, United-States, <=50K,6,2,6
49, Local-gov, Husband, Black, Male,0,0,40, United-States, >50K,8,2,7
55, Private, Husband, White, Male,0,0,56, United-States, <=50K,6,2,6
22, Private, Not-in-family, White, Male,0,0,41, United-States, <=50K,2,1,7
21, Private, Own-child, White, Female,0,0,40, United-States, <=50K,6,1,5
40, Private, Husband, White, Male,0,0,60, United-States, <=50K,1,2,2
30, Private, Own-child, Black, Male,0,0,40, Germany, <=50K,1,1,2
29, State-gov, Husband, White, Male,0,0,50, United-States, >50K,1,2,4
19, Private, Own-child, Black, Male,0,0,35, United-States, <=50K,6,1,5
47, Private, Wife, White, Female,0,0,40, United-States, >50K,1,2,2
20, Private, Own-child, White, Female,0,1719,28, United-States, <=50K,6,1,1
31, Private, Husband, White, Male,0,0,40, United-States, >50K,7,2,1
35,nan, Husband, White, Male,0,0,40, United-States, <=50K,2,2,12
39, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,6,3,7
28, Private, Not-in-family, White, Female,0,0,60, United-States, <=50K,7,1,6
24, Private, Not-in-family, White, Female,0,1762,40, United-States, <=50K,2,1,5
38, Self-emp-not-inc, Husband, White, Male,4386,0,35, United-States, <=50K,2,2,7
37, Private, Husband, White, Male,0,0,50, United-States, <=50K,1,2,6
46, Private, Not-in-family, Black, Female,0,0,36, United-States, <=50K,7,3,11
38, Federal-gov, Husband, White, Male,0,0,40, Iran, >50K,4,2,4
43, Self-emp-not-inc, Husband, White, Male,0,0,60, United-States, <=50K,2,2,7
27, Private, Wife, White, Female,0,0,35, United-States, <=50K,8,2,1
20, Private, Own-child, White, Male,0,0,20, United-States, <=50K,6,1,6
49, Private, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K,6,2,7
61, Self-emp-inc, Husband, White, Male,0,0,40, United-States, <=50K,2,2,7
27, Private, Own-child, White, Female,0,0,40, United-States, <=50K,6,1,6
19, Private, Own-child, White, Male,0,0,30, Mexico, <=50K,6,1,5
45, Private, Not-in-family, White, Female,0,1564,40, United-States, >50K,8,1,4
70, Private, Other-relative, White, Male,0,0,40, United-States, <=50K,6,1,11
31, Private, Unmarried, Black, Female,0,0,30, United-States, <=50K,2,1,8
22, Private, Husband, White, Male,0,0,24, United-States, <=50K,6,2,5
36, Private, Unmarried, White, Female,0,0,24, United-States, <=50K,2,7,5
64, Private, Husband, White, Male,0,2179,40, United-States, <=50K,3,2,7
43,nan, Not-in-family, White, Female,0,0,40, United-States, <=50K,6,3,12
47, Local-gov, Unmarried, White, Female,0,0,38, Mexico, <=50K,6,3,1
34, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,2,1,1
33, Private, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K,1,1,2
21, Private, Own-child, White, Male,0,0,35, United-States, <=50K,2,1,7
52,nan, Not-in-family, White, Male,0,0,45, United-States, >50K,2,3,12
48, Private, Husband, White, Male,0,0,46, United-States, <=50K,2,2,7
23, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,1,1,3
71, Self-emp-not-inc, Unmarried, Black, Male,0,1816,2, United-States, <=50K,6,5,6
29, Private, Not-in-family, White, Male,0,0,60, United-States, <=50K,2,3,7
42, Private, Other-relative, Black, Male,0,0,50, United-States, <=50K,1,5,5
68,nan, Not-in-family, White, Female,0,0,20, United-States, <=50K,14,3,12
25, Private, Unmarried, White, Female,0,0,40, United-States, <=50K,2,1,5
44, Self-emp-inc, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K,4,3,2
28, Private, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K,2,1,2
45, Self-emp-not-inc, Husband, White, Male,0,0,40, United-States, >50K,4,2,6
36, Private, Unmarried, White, Female,0,0,40, Mexico, <=50K,6,3,5
39, Federal-gov, Not-in-family, White, Male,0,0,42, United-States, <=50K,7,1,2
46, State-gov, Unmarried, White, Male,0,0,40, United-States, <=50K,4,7,13
18, Private, Own-child, White, Male,0,0,16, United-States, <=50K,3,1,3
66, Local-gov, Not-in-family, White, Female,0,0,20, United-States, <=50K,8,7,4
27, Private, Not-in-family, White, Male,0,1980,40, United-States, <=50K,2,1,5
28, State-gov, Husband, White, Male,0,0,40, United-States, <=50K,2,2,13
51, Private, Husband, White, Male,0,1977,40, United-States, >50K,6,2,6
27, Private, Not-in-family, White, Male,0,0,50, United-States, <=50K,1,1,7
28, State-gov, Husband, White, Male,0,0,40, United-States, >50K,1,2,4
27, Private, Unmarried, White, Female,0,0,25, United-States, <=50K,2,4,6
21, Private, Own-child, Black, Male,0,0,40, United-States, <=50K,2,1,7
34, Private, Not-in-family, Black, Male,0,0,40, United-States, <=50K,2,1,3
18, Private, Own-child, White, Male,0,0,12, United-States, <=50K,2,1,5
33, Private, Husband, White, Male,0,0,65, United-States, <=50K,1,2,4
44, Local-gov, Husband, Black, Male,0,0,38, United-States, >50K,6,2,2
43, Private, Not-in-family, White, Female,0,0,40, United-States, <=50K,6,3,1
30, Private, Not-in-family, Black, Male,0,0,45, United-States, <=50K,6,1,7
40, Private, Husband, White, Male,0,0,40, Mexico, >50K,9,2,10
37, Federal-gov, Husband, White, Male,0,0,42, United-States, >50K,6,2,1
34, Private, Husband, Black, Male,0,0,40, United-States, <=50K,2,2,1
41, Self-emp-not-inc, Not-in-family, White, Female,0,0,40, United-States, <=50K,1,3,2
53,nan, Not-in-family, White, Female,0,0,50, United-States, <=50K,1,3,12
31, Private, Wife, White, Female,0,0,50, United-States, <=50K,4,2,4
58, State-gov, Husband, White, Male,0,0,1, United-States, >50K,10,2,4
38, Private, Not-in-family, Black, Female,0,0,28, United-States, <=50K,6,3,10
24, Private, Husband, White, Male,0,0,40, United-States, <=50K,6,2,10
41, Local-gov, Husband, Black, Male,0,0,40, United-States, <=50K,1,2,7
47, Private, Husband, White, Male,0,0,45, United-States, <=50K,6,2,11
41, Federal-gov, Husband, White, Male,0,0,24, United-States, <=50K,1,2,11
23, Private, Other-relative, White, Male,0,0,40, Mexico, <=50K,12,2,8
36, Private, Not-in-family, White, Male,0,0,40, United-States, <=50K,6,3,7
40, Federal-gov, Not-in-family, White, Female,14084,0,55, United-States, >50K,4,1,2
35, Private, Other-relative, White, Male,7298,0,40, United-States, >50K,4,2,4
24, Self-emp-not-inc, Not-in-family, White, Male,0,0,40, United-States, <=50K,2,1,6
26, Private, Not-in-family, White, Female,0,1876,40, United-States, <=50K,4,1,4
19,nan, Own-child, White, Male,0,0,40, Italy, <=50K,2,1,12
51, Private, Husband, White, Male,0,0,50, United-States, >50K,1,2,2
42, Local-gov, Not-in-family, White, Female,0,1340,40, United-States, <=50K,6,1,4
37, State-gov, Unmarried, White, Female,0,0,35, United-States, <=50K,2,3,1
18, Private, Own-child, White, Female,0,0,40, United-States, <=50K,3,1,6
36, Private, Husband, Black, Male,7298,0,36, United-States, >50K,1,2,5
35, Private, Not-in-family, White, Male,0,0,60, United-States, <=50K,2,3,7
58, Self-emp-inc, Wife, White, Female,15024,0,35, United-States, >50K,2,2,6
